country,code,continent,region,subregion,economicState,lat,lon,gpi2014,gpi2015,gpi2016,gpi2017,gpi2018,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018
Guyana,GUY,Americas,Latin America and the Caribbean,South America,Developing,06.50N,58.12W,2.013,2.029,2.105,2.02112,2.043,0.648,0.651,0.652,0.654,0.654
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,Developing,18.40N,72.20W,2.127,2.074,2.066,2.026,2.064,0.49,0.493,0.496,0.498,0.498
Honduras,HND,Americas,Latin America and the Caribbean,Central America,Developing,14.05N,87.14W,2.281,2.21,2.237,2.185,2.282,0.603,0.609,0.614,0.617,0.617
Hungary,HUN,Europe,Eastern Europe,,Developed,47.29N,19.05E,1.482,1.463,1.534,1.494,1.531,0.833,0.834,0.835,0.838,0.838
Iceland,ISL,Europe,Northern Europe,,Developed,64.10N,21.57W,1.189,1.148,1.192,1.111,1.096,0.925,0.927,0.933,0.935,0.935
India,IND,Asia,Southern Asia,,Developing,28.37N,77.13E,2.571,2.504,2.566,2.541,2.504,0.618,0.627,0.636,0.64,0.64
Indonesia,IDN,Asia,South-eastern Asia,,Developing,06.09S,106.49E,1.853,1.768,1.799,1.851,1.853,0.683,0.686,0.691,0.694,0.694
Iran,IRN,Asia,Southern Asia,,Developing,35.44N,51.30E,2.437,2.409,2.411,2.364,2.439,0.788,0.789,0.796,0.798,0.798
Iraq,IRQ,Asia,Western Asia,,Developing,33.20N,44.30E,3.377,3.444,3.57,3.556,3.425,0.666,0.668,0.672,0.685,0.685
Ireland,IRL,Europe,Northern Europe,,Developed,53.21N,06.15W,1.384,1.354,1.433,1.408,1.393,0.921,0.929,0.934,0.938,0.938
Israel,ISR,Asia,Western Asia,,Developed,31.71N,35.10E,2.689,2.781,2.656,2.707,2.764,0.899,0.901,0.902,0.903,0.903
Italy,ITA,Europe,Southern Europe,,Developed,41.54N,12.29E,1.675,1.669,1.774,1.737,1.766,0.874,0.876,0.878,0.88,0.88
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,Developing,18.00N,76.50W,2.203,2.153,2.091,2.072,2.068,0.728,0.73,0.732,0.732,0.732
Japan,JPN,Asia,Eastern Asia,,Developed,35.68N,139.65E,1.316,1.322,1.395,1.408,1.391,0.903,0.905,0.907,0.909,0.909
